Date,Presenter,Paper,Why should we care,Appear in,Repo,Blogs
22/01/24,[Marian-Andrei Rizoiu](../authors/ma-rizoiu/),[Causally estimating the effect of YouTube's recommender system using counterfactual bots](https://arxiv.org/pdf/2308.10398.pdf),"One of the first studies to estimate the effects of the YouTube recommender system on radicalisation using counterfactual viewing series, using bots.",arXiv,,
05/02/24,[Rohit Ram](../authors/rohit-ram/),CA3 Dry Run,,,,
19/02/24,[Elaine Gong](../authors/xian-gong/),[E-BERT: Efficient-Yet-Effective Entity Embeddings for BERT](https://aclanthology.org/2020.findings-emnlp.71.pdf),"It introduces E-BERT, which aligns Wikipedia2Vec entity vectors with BERT's wordpiece vector space, enabling the use of entity vectors as if they were wordpiece vectors.",Association for Computational Linguistics 2020,,
04/03/24,[Pio Calderon](../authors/pio-calderon/),[Inference for Mark-Censored Temporal Point Processes](https://proceedings.mlr.press/v216/boyd23a/boyd23a.pdf),The paper introduces a marginalization technique to performance inference at prediction time for a trained marked temporal point process when presented with mark censoring.,UAI 2023,,
18/03/24,[Frankie Yuan](../authors/lanqin-yuan/),[Causality Guided Disentanglement for Cross-Platform Hate Speech Detection](https://arxiv.org/pdf/2308.02080.pdf),"The paper introduces a hate speech detection model that uses a VAE to extract causal embeddings separated into platform independent features useful for predicting presence of hate, and platform dependent features useful for predicting the target of hate.",WSDM 2024,,
01/04/24,--,No reading due to public holiday,,,,
15/04/24,[Matthew Ghannoum](../authors/matthew-ghannoum/),Auto-RPL Early Research Feedback,,,,
29/04/24,--,Canceled,,,,
15/05/24,[Pio Calderon](../authors/pio-calderon/),ICWSM24 Lightning Talk Dry Run,,,,
29/05/24,--,Research showcase dry run,,,,
12/06/24,[Lin Tian](../authors/lin-tian/),Adaptable Transfer Learning Models for Online Misinformation Detection,Summary of Lin’s PhD work.,,,
26/06/24,[Elaine Gong](../authors/xian-gong/),[Demystifying embedding spaces using large language models](https://arxiv.org/pdf/2310.04475),This paper introduces a novel framework to interpret and interact embedding vectors by leveraging the power of LLMs.,ICLR 2024,,
10/07/24,[Emily Booth](../authors/emily-booth/),[SoK: A Framework for Unifying At-Risk User Research](https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9833643),"Paper linked during the [Google Trust and Safety Awards](https://research.google/programs-and-events/trust-safety-research/) information session and strongly suggested everyone read. They really liked how it understood ‘at risk’ users, and also the human and technical considerations it made.",[IEEE Symposium on Security and Privacy’22](https://ieeexplore.ieee.org/document/9833643),,
24/07/24,[Marian-Andrei Rizoiu](../authors/ma-rizoiu/),Dry run of the CMT II Keynote presentation.,The dry-run will happen in the [UTS Data Arena facility](https:/dataarena.net/) –  a 360° data visualisation facility designed for collaborative experiences.,CMT Information Integrity Forum,,
07/08/24,[Frankie Yuan](../authors/lanqin-yuan/),"[Temporal dynamics of coordinated online behavior: Stability, archetypes, and influence](https://www.pnas.org/doi/abs/10.1073/pnas.2307038121)","This paper examines temporal change in online coordinated communities and introduces temporal multiplex networks as a means of dynamically identifying communities engaging in coordinated behaviour leading up to elections in the UK and the US.",PNAS,,
21/08/24,[Pio Calderon](../authors/pio-calderon/),ECML-PKDD24 Talk Dry Run,,,,
04/09/24,[Lin Tian](../authors/lin-tian/),,,,,
18/09/24,--,Canceled,,,,
02/10/24,--,Canceled,,,,
16/10/24,[Matthew Ghannoum](../authors/matthew-ghannoum/),,,,,
30/10/24,[Marian-Andrei Rizoiu](../authors/ma-rizoiu/),[Unmasking the Web of Deceit: Uncovering Coordinated Activity to Expose Information Operations on Twitter](https://arxiv.org/pdf/2310.09884),This paper delves into the detection of key players driving IOs by employing similarity graphs constructed from behavioral pattern data.,[WWW’24](https://dl.acm.org/doi/10.1145/3589334.3645529),,
13/11/24,[Jooyoung Lee](../authors/jooyoung-lee/),,,,,
