Date,Presenter,Paper,Why should we care,Appear in,Repo,Blogs
28/01/2026,[Marian-Andrei Rizoiu](../authors/ma-rizoiu/),,,,,
04/02/2026,[Lin Tian](../authors/lin-tian/),,,,,
11/02/2026,[Huixiang (Freda) Fu](../authors/huixiang-fu/),,,,,
18/02/2026,Tien An Vu,,,,,
25/02/2026,[Emily Booth](../authors/emily-booth/),,,,,
04/03/2026,Artur Grigorev,,,,,
11/03/2026,[Jooyoung Lee](../authors/jooyoung-lee/),,,,,
18/03/2026,[Andrew Savchenko](../authors/andrew-savchenko/),,,,,
25/03/2026,[Majid Akhtar](../authors/majid-akhtar/),,,,,
01/04/2026,[Kevin Zheng](../authors/kevin-zheng/),,,,,
08/04/2026,[Marian-Andrei Rizoiu](../authors/ma-rizoiu/),,,,,
15/04/2026,[Lin Tian](../authors/lin-tian/),,,,,
22/04/2026,[Huixiang (Freda) Fu](../authors/huixiang-fu/),,,,,
29/04/2026,,,,,,
06/05/2026,,,,,,
13/05/2026,,,,,,
20/05/2026,,,,,,
27/05/2026,,,,,,
03/06/2026,,,,,,
10/06/2026,,,,,,
17/06/2026,,,,,,
24/06/2026,,,,,,
01/07/2026,,,,,,
08/07/2026,,,,,,
15/07/2026,,,,,,
22/07/2026,,,,,,
29/07/2026,,,,,,
05/08/2026,,,,,,
12/08/2026,,,,,,
19/08/2026,,,,,,
26/08/2026,,,,,,
02/09/2026,,,,,,
09/09/2026,,,,,,
16/09/2026,,,,,,
23/09/2026,,,,,,
30/09/2026,,,,,,
07/10/2026,,,,,,
14/10/2026,,,,,,
21/10/2026,,,,,,
28/10/2026,,,,,,
04/11/2026,,,,,,
11/11/2026,,,,,,
18/11/2026,,,,,,
25/11/2026,,,,,,
02/12/2026,,,,,,
09/12/2026,,,,,,
16/12/2026,,,,,,
23/12/2026,,,,,,
30/12/2026,,,,,,
